GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26
0400000US12,12,Florida,20404315,30465,16214986,48326,4189329,37217,2394736,27346,1794593,33484,17554348,46036,13851872,53019,3702476,39949,2178064,28356,1524412,31795,1746306,41479,1405583,34392,340723,17770,151139,9969,189584,13369,656075,21858,566619,20400,89456,8091,40073,4183,49383,6232,447586,18829,390912,16045,56674,6181,25460,3203,31214,4094
0400000US13,13,Georgia,10218305,22113,9194108,24669,1024197,18701,460532,14125,563665,17589,8760762,36118,7870663,35454,890099,17005,410843,13676,479256,16358,723011,21638,652010,21488,71001,6169,24055,3165,46946,5827,479576,17845,444652,17320,34924,4501,15430,2382,19494,3932,254956,13533,226783,12631,28173,4308,10204,2037,17969,3776
0400000US15,15,Hawaii,1413620,9025,1152509,12240,261111,11112,162144,6712,98967,8606,1231340,10978,998849,13385,232491,10495,147290,6430,85201,8156,108377,9733,88560,8353,19817,3478,9545,2034,10272,2340,7306,1638,7083,1649,223,232,162,203,61,98,66597,6850,58017,6037,8580,2197,5147,1608,3433,1312
0400000US16,16,Idaho,1672608,9376,1576215,11497,96393,6469,39924,4509,56469,4985,1405344,15502,1324616,15382,80728,6338,34749,4103,45979,4643,156668,13499,146360,12590,10308,2880,2357,1044,7951,2987,53642,6238,51749,6141,1893,552,883,495,1010,452,56954,5555,53490,5226,3464,1295,1935,902,1529,941
0400000US17,17,Illinois,12732252,16919,10938965,23398,1793287,18360,924985,15942,868302,17408,11026895,37393,9456581,35182,1570314,18977,839287,15980,731027,16302,1031520,27905,882570,24541,148950,9145,55448,5021,93502,7272,334402,16902,299393,14990,35009,4413,16503,2671,18506,3027,339435,14683,300421,13098,39014,4882,13747,2451,25267,3962
0400000US18,18,Indiana,6557752,13562,6223955,16167,333797,10896,133561,6471,200236,9558,5633171,21965,5350770,21999,282401,11209,117970,6426,164431,9658,546402,17976,514937,17011,31465,4300,8565,1814,22900,3904,246085,11325,236657,10928,9428,2260,3893,1166,5535,2040,132094,8302,121591,8157,10503,1690,3133,948,7370,1354
0400000US19,19,Iowa,3096929,9758,2936625,9960,160304,6529,66232,4846,94072,5545,2654666,12669,2520977,13300,133689,6417,59036,4604,74653,5266,251167,11089,237978,10867,13189,2486,3518,1053,9671,2121,111738,6644,106686,6388,5052,1278,1461,579,3591,1172,79358,7701,70984,6854,8374,2272,2217,1000,6157,1916
0400000US20,20,Kansas,2878948,11749,2682443,11553,196505,7312,81660,5150,114845,6884,2413141,16713,2250034,16595,163107,6632,72909,4712,90198,5787,260147,13342,238641,12248,21506,3829,4488,1310,17018,3368,106000,7217,101632,6854,4368,1268,1542,801,2826,1009,99660,7863,92136,7051,7524,2316,2721,999,4803,1847
0400000US21,21,Kentucky,4384311,11383,4225031,12753,159280,7496,68376,5448,90904,5911,3721100,18613,3587946,18068,133154,7705,59606,5595,73548,5715,390671,14096,374184,14101,16487,2718,5605,1325,10882,2053,173050,9113,169280,8976,3770,1284,979,500,2791,1063,99490,8060,93621,7545,5869,1574,2186,708,3683,1329
0400000US22,22,Louisiana,4646562,12856,4460668,15348,185894,8054,74496,4970,111398,7429,4030674,23379,3869932,24372,160742,7203,67711,4797,93031,6619,349374,16701,335682,16235,13692,2952,3250,1086,10442,2431,164302,12115,157990,12101,6312,2174,959,614,5353,2187,102212,8836,97064,8575,5148,1726,2576,1233,2572,1095
